,Spl-Tis Abay I,Spl-Fincha,Trns-Blue Nile River 2,Spl-Grand Renaissance Dam,Spl-Tekeze,Spl-Gibgel Gibe I,Spl-Gibgel Gibe II,Spl-Gibgel Gibe III,Spl-Koka,Spl-Awash II,Spl-Melka Wakena,Spl-Genaledawa III,Gen-Awash II,Gen-Fincha,Gen-Genaledawa III,Gen-Gibgel Gibe I,Gen-Gibgel Gibe II,Gen-Gibgel Gibe III,Gen-Grand Renaissance Dam,Gen-Koka,Gen-Melka Wakena,Gen-Tekeze/ TK5,Gen-Tana Beles,Gen-Tis Abay I & II
7478,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.072,-0.0,-0.0,-0.0,-0.0,0.056,0.025,0.2,-0.0,0.072,-0.0,0.11399999999999999,0.29500000000000004,0.025,0.237,0.151,-0.0,0.095
7479,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0711946128,-0.0,-0.0,-0.0,-0.0,0.039,0.020200000000000003,0.28635,-0.0,0.071283,-0.0,0.10944461280000001,0.33253,0.0221,0.23725,0.19565700000000003,-0.0,0.10538
7480,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0638053872,-0.0,-0.0,-0.0,-0.0,0.029,0.0278,0.32565,-0.0,0.063717,-0.0,0.13155538719999998,0.54447,0.0259,0.25875,0.237343,-0.0,0.15962
7481,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.063,-0.0,-0.0,-0.0,-0.0,0.032,0.026,0.421,-0.0,0.063,-0.0,0.134,0.636,0.026,0.281,0.251,-0.0,0.215
7482,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0591946128,-0.0,-0.0,-0.0,-0.0,0.034,0.028200000000000003,0.35435,-0.0,0.059282999999999995,-0.0,0.11544461280000001,0.58353,0.030100000000000002,0.31025,0.256657,-0.0,0.28837999999999997
7483,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.071,-0.0,-0.0,-0.0,-0.0,0.034,0.044,0.244,-0.0,0.071,-0.0,0.14,0.554,0.044,0.342,0.259,-0.0,0.31000000000000005
7484,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.06280538719999999,-0.0,-0.0,-0.0,-0.0,0.031,0.0598,0.12965000000000002,-0.0,0.062717,-0.0,0.1345553872,0.48147000000000006,0.0579,0.34275,0.227343,-0.0,0.29262
7485,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0591946128,-0.0,-0.0,-0.0,-0.0,0.039,0.0672,0.04435,-0.0,0.059282999999999995,-0.0,0.09044461279999999,0.21353,0.0691,0.35025,0.15365700000000002,-0.0,0.22838
7486,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.10280538719999999,-0.0,-0.0,-0.0,-0.0,0.059,0.0828,0.011649999999999999,-0.0,0.10271699999999999,-0.0,0.1515553872,0.30947,0.0809,0.33275,0.091343,-0.0,0.23862
7487,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.164,-0.0,-0.0,-0.0,-0.0,0.086,0.079,0.006,-0.0,0.164,-0.0,0.217,0.12753,0.079,0.32,0.018657,-0.0,0.136
7488,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2561946128,-0.0,-0.0,-0.0,-0.0,0.111,0.0742,0.00835,-0.0,0.256283,-0.0,0.3544446128,-0.0,0.0761,0.30425,-0.0,-0.0,0.03638
7489,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.4258053872,-0.0,-0.0,-0.0,-0.0,0.12,0.0798,0.02065,-0.0,0.425717,-0.0,0.6605553872000001,0.13247,0.0779,0.25275,0.006343,-0.0,0.05262
7490,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5951946128,-0.0,-0.0,-0.0,-0.0,0.126,0.06520000000000001,0.029349999999999998,-0.0,0.595283,-0.0,0.9084446128,-0.0,0.0671,0.16225,-0.0,-0.0,0.01738
7491,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.609,-0.0,-0.0,-0.0,-0.0,0.114,0.057,0.029,-0.0,0.609,-0.0,0.88,0.06752999999999999,0.057,0.104,-0.0,-0.0,0.051
7492,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.513,-0.0,-0.0,-0.0,-0.0,0.095,0.041,0.016,-0.0,0.513,-0.0,0.696,0.079,0.041,0.072,0.0006570000000000005,-0.0,0.063
7493,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.3538053872,-0.0,-0.0,-0.0,-0.0,0.084,0.029799999999999997,0.00865,-0.0,0.353717,-0.0,0.4565553872,0.13946999999999998,0.027899999999999998,0.05575,0.008343,-0.0,0.07161999999999999
7494,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.247,-0.0,-0.0,-0.0,-0.0,0.061,0.014,0.005,-0.0,0.247,-0.0,0.292,-0.0,0.014,0.037,-0.0,-0.0,0.007380000000000001
7495,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1661946128,-0.0,-0.0,-0.0,-0.0,0.054,0.010199999999999999,0.00235,-0.0,0.16628300000000001,-0.0,0.1854446128,-0.0,0.0121,0.03225,-0.0,-0.0,-0.0
7496,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.08780538719999999,-0.0,-0.0,-0.0,-0.0,0.048,0.0168,0.00665,-0.0,0.08771699999999999,-0.0,0.12055538719999999,-0.0,0.0149,0.029750000000000002,-0.0,-0.0,0.001
