,Gen-Awash II,Gen-Fincha,Gen-Genaledawa III,Gen-Gibgel Gibe I,Gen-Gibgel Gibe II,Gen-Gibgel Gibe III,Gen-Grand Renaissance Dam,Gen-Koka,Gen-Melka Wakena,Gen-Tekeze/ TK5,Gen-Tana Beles,Gen-Tis Abay I & II
5464,-22.504816955684007,-87.63651002781437,0.0,-16.289228159457167,0.0,-283.92934196332254,-727.6833872707658,-22.55028735632184,-76.76755447941889,-131.57894736842107,0.0,-28.670634920634917
5465,-22.093770070648684,-82.92856097203924,0.0,-14.240882103477523,0.0,-334.8651564185545,-689.6322141316073,-22.138409961685824,-67.0944309927361,-133.57256778309412,0.0,-27.503052503052498
5466,-20.326268464996794,-66.04124579124579,0.0,-18.895212044105175,0.0,-455.172215227616,-593.4062331445522,-20.17169540229885,-55.851997578692504,-135.3042264752791,0.0,-30.04838217338217
5467,-16.647398843930638,-49.04113599765773,0.0,-28.09160305343511,0.0,-592.5701186623517,-455.88929341963313,-16.68103448275862,-39.001210653753034,-132.7751196172249,0.0,-33.47069597069597
5468,-13.461785484906873,-32.121944078465816,0.0,-42.03986429177269,0.0,-750.9250269687163,-354.78189050701184,-13.488984674329503,-26.240920096852303,-139.15470494417863,0.0,-42.03296703296703
5469,-10.913294797687861,-21.6933465085639,0.0,-51.919037319762516,0.0,-845.4561558619203,-269.4494168015102,-11.130986590038313,-16.490617433414045,-146.19497607655504,0.0,-46.752594627594625
5470,-8.323699421965319,-18.39042599912165,0.0,-59.59711620016964,0.0,-940.5474649406688,-288.46413160733545,-8.34051724137931,-10.599273607748184,-163.8755980861244,0.0,-54.61691086691086
5471,-7.398843930635838,-14.90850534328795,0.0,-60.3774385072095,0.0,-958.702804746494,-254.39927184466015,-7.413793103448275,-6.997578692493948,-162.28070175438597,0.0,-51.63308913308913
5472,-8.20038535645472,-13.027777777777777,0.0,-53.71709499575912,0.0,-908.0470803840345,-249.49610639158573,-8.021312260536398,-5.428268765133172,-136.50039872408294,0.0,-47.17292429792428
5473,-6.289017341040463,-12.13032498902064,0.0,-50.943634435962686,0.0,-890.8445053764832,-172.69071939050696,-6.497365900383142,-3.8332324455205815,-97.1519138755981,0.0,-37.41193528693528
5474,-6.8644829800899165,-12.73353096179183,0.0,-55.27773960983884,0.0,-956.461319866235,-229.92693163430417,-6.682710727969348,-3.26725181598063,-82.67264752791068,0.0,-40.94581807081807
5475,-7.727681438664098,-13.797723612941002,0.0,-56.79605173876166,0.0,-917.0688850960087,-162.54373988673137,-7.938936781609195,-3.52451573849879,-69.24122807017544,0.0,-29.36858974358974
5476,-10.255619781631342,-15.038464353681743,0.0,-55.27773960983884,0.0,-843.9990760690399,-215.79363875404525,-10.080699233716475,-6.868946731234868,-74.2994417862839,0.0,-29.78891941391941
5477,-10.789980732177264,-16.330698287220027,0.0,-50.91603053435115,0.0,-711.5884573894283,-188.44390507011863,-10.811781609195402,-18.420096852300244,-67.78309409888358,0.0,-24.259768009768006
5478,-12.146435452793835,-15.219916556873079,0.0,-48.40758693808312,0.0,-608.9324233915856,-148.41044700647245,-12.36661877394636,-34.80780871670703,-71.6335725677831,0.0,-20.54685592185592
5479,-13.852280025690433,-12.635448689796515,0.0,-44.450767599660736,0.0,-509.13391965048544,-182.81595536677452,-13.68462643678161,-38.56386198547216,-74.2994417862839,0.0,-24.340201465201464
5480,-17.284521515735385,-9.972515005123698,0.0,-40.409283290924506,0.0,-404.1805355814455,-105.28578411542607,-17.515086206896548,-24.414346246973366,-75.22208931419459,0.0,-18.990079365079364
5481,-21.456647398843934,-8.85928121797687,0.0,-36.15984308736218,0.0,-345.73586139805826,-167.23309398597627,-21.30435823754789,-20.040859564164652,-88.65350877192982,0.0,-28.751068376068375
5482,-21.49775208734746,-8.893610013175229,0.0,-31.33803647158609,0.0,-279.6147319137001,-137.90107537756202,-21.736829501915707,-27.810230024213084,-104.32894736842107,0.0,-33.519993894993895
