,Gen-Load Shed,Gen-Gas New,Gen-Adama,Gen-Ashegoda,Gen-Ayisha,Gen-Wind New,Gen-Solar New I,Gen-Solar New II,RvrIn-Lake Tana Inflow,RvrIn-Fincha River,RvrIn-Gibr Shet River,RvrIn-Gibe River,RvrIn-Awasha River,RvrIn-Melka Wakena River,RvrOut-Gibe River,RvrOut-Awash River,RvrOut-Melka Wakena River,RvrIn-Genale River,RvrOut-Genale River,RvrIn-Tekeze River,RvrOut-Tekeze River,RvrOut-Blue Nile River,Gen-Export_potential
53,1638.6930348387411,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.002,0.0,0.0,-0.00125,0.001,-0.001,-0.0,0.0,0.0,0.0
54,1711.0114642542378,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.001,0.0,0.0,-0.00175,0.001,-0.001,-0.0,0.0,0.0,0.0
55,1825.436396607748,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.001,0.0,0.0,-0.00025,0.001,-0.001,-0.0,0.0,0.0,0.0
56,1935.0450229232447,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.00075,0.001,-0.001,-0.0,0.0,0.0,0.0
57,2001.6450156,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
58,2018.9134008,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.001,-0.001,-0.0,0.0,0.0,0.0
59,2022.5480630077482,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.001,0.0,0.0,-0.00025,0.006,-0.006,-0.0,0.0,0.0,0.0
60,2002.0134848852306,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.002,0.0,0.0,-0.00275,0.015,-0.015,-0.0,0.0,0.0,0.0
61,1962.4898544239718,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.004,0.0,0.0,-0.004,0.016,-0.016,-0.0,0.0,0.0,0.0
62,1927.2704480246991,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.008,0.0,0.0,-0.00725,0.011,-0.011,-0.0,0.0,0.0,0.0
63,1903.5680259881397,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.015,0.0,0.0,-0.01575,0.007,-0.007,-0.0,0.0,0.0,0.0
64,1950.6515363726435,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.016,0.0,0.0,-0.01525,0.004,-0.004,-0.0,0.0,0.0,0.0
65,2009.6176289409232,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.011,0.0,0.0,-0.011,0.004,-0.004,-0.0,0.0,0.0,0.0
66,2102.6443095331747,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,0.0,0.0,-0.010750000000000001,0.003,-0.0007000000000000001,-0.0,0.0,0.0,0.0
67,2238.455307354965,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005,0.0,0.0,-0.005,0.002,-0.002,-0.0,0.0,0.0,0.0
68,2199.590332238741,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.002,0.0,0.0,-0.00125,0.001,-0.001,-0.0,0.0,0.0,0.0
69,2038.3481497542377,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.001,0.0,0.0,-0.00175,-0.0,0.0,-0.0,0.0,0.0,0.0
70,1899.595727523972,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.004,0.0,0.0,-0.004,-0.0,0.0,-0.0,0.0,0.0,0.0
71,1818.123901117678,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.011,0.0,0.0,-0.010249999999999999,-0.0,0.0,-0.0,0.0,0.0,0.0
72,1751.9263296811187,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.018,0.0,0.0,-0.01875,-0.0,0.0,-0.0,0.0,0.0,0.0
73,1715.013034533902,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.014,0.0,0.0,-0.014,-0.0,0.0,-0.0,0.0,0.0,0.0
74,1706.1073460697341,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.003,0.0,0.0,-0.0022500000000000003,-0.0,0.0,-0.0,0.0,0.0,0.0
75,1724.6210925999999,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
76,1783.770618323245,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.00075,0.002,-0.002,-0.0,0.0,0.0,0.0
77,1870.371395630993,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.001,0.0,0.0,-0.001,0.001,-0.001,-0.0,0.0,0.0,0.0
78,1953.1729385077483,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.001,0.0,0.0,-0.00025,-0.0,0.0,-0.0,0.0,0.0,0.0
79,2086.937707130993,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.001,0.0,0.0,-0.001,-0.0,0.0,-0.0,0.0,0.0,0.0
80,2223.431364430993,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.001,0.0,0.0,-0.001,-0.0,0.0,-0.0,0.0,0.0,0.0
81,2274.9697112,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
82,2304.1687371,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
83,2295.2081855,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
84,2285.2937491,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
85,2273.0928043,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
86,2279.4748129,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
87,2303.8463667,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
88,2337.7140423,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
89,2314.112711336875,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0125553872,-0.0038,-0.00075,-0.0,0.0,-0.0,-0.005343,-0.07947,0.0
90,2382.3426505,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
91,2464.3640141,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
92,2398.409311,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
93,2212.1446555,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
94,2061.5423894,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
95,1958.6089434,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
96,1892.1146826,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
97,1852.5999106,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
98,1843.0291538000001,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
99,1860.6707161999998,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
100,1929.958713,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
101,2031.9533904,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
102,2115.3491578,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
103,2191.2966063,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
104,2314.5524005,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
105,2335.5880349,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
106,2342.3270551,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
