,RvrIn-Lake Tana Inflow,RvrIn-Fincha River,RvrIn-Gibr Shet River,RvrIn-Gibe River,RvrIn-Awasha River,RvrIn-Melka Wakena River,RvrIn-Tekeze River,RvrIn-Genale River
8613,0.0,0.0,0.01,0.005,0.002,0.024,0.0,0.015
8614,0.0,0.0,0.009,0.005,0.003,0.025,0.0,0.013
8615,0.0,0.0,0.012,0.006,0.003,0.02,0.0,0.01
8616,0.0,0.0,0.011,0.004,0.002,0.018,0.0,0.008
8617,0.0,0.0,0.012,0.004,0.002,0.017,0.0,0.007
8618,0.0,0.0,0.013,0.003,0.002,0.013,0.0,0.005
8619,0.0,0.0,0.012,0.002,0.001,0.011,0.0,0.004
8620,0.0,0.0,0.012,0.002,0.002,0.01,0.0,0.004
8621,0.0,0.0,0.013,0.002,0.002,0.008,0.0,0.004
8622,0.0,0.0,0.011,0.002,0.003,0.007,0.0,0.004
8623,0.0,0.0,0.008,0.001,0.002,0.006,0.0,0.003
8624,0.0,0.0,0.006,0.001,0.002,0.007,0.0,0.001
8625,0.0,0.0,0.003,0.001,0.002,0.01,0.0,0.001
8626,0.0,0.0,0.004,0.001,0.001,0.009,0.0,0.002
8627,0.0,0.0,0.005,0.001,0.002,0.01,0.0,0.004
8628,0.0,0.0,0.004,0.001,0.002,0.01,0.0,0.005
8629,0.0,0.0,0.005,0.001,0.001,0.008,0.0,0.005
8630,0.0,0.0,0.004,0.0,0.001,0.008,0.0,0.004
8631,0.0,0.0,0.002,0.0,0.001,0.009,0.0,0.002
8632,0.0,0.0,0.001,0.0,0.0,0.012,0.0,0.002
8633,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.002
8634,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.005
8635,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.009
8636,0.0,0.0,0.0,0.0,0.001,0.018,0.0,0.013
8637,0.0,0.0,0.001,0.001,0.001,0.014,0.0,0.012
8638,0.0,0.0,0.001,0.001,0.001,0.011,0.0,0.01
8639,0.0,0.0,0.001,0.001,0.001,0.007,0.0,0.008
8640,0.0,0.0,0.001,0.001,0.001,0.006,0.0,0.004
8641,0.0,0.0,0.001,0.001,0.001,0.005,0.0,0.002
8642,0.0,0.0,0.002,0.001,0.001,0.004,0.0,0.001
8643,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0
8644,0.0,0.0,0.001,0.0,0.0,0.007,0.0,0.0
8645,0.0,0.0,0.001,0.0,0.0,0.007,0.0,0.0
8646,0.0,0.0,0.001,0.0,0.0,0.006,0.0,0.0
8647,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0
8648,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
8649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8650,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
8651,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0
8652,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0
8653,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0
8654,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0
8655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8656,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0
8657,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0
8658,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0
8659,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0
8660,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0
8661,0.0,0.0,0.0,0.0,0.002,0.003,0.0,0.0
8662,0.0,0.0,0.0,0.0,0.008,0.004,0.0,0.0
8663,0.0,0.0,0.0,0.0,0.01,0.005,0.0,0.0
8664,0.0,0.0,0.0,0.0,0.005,0.002,0.0,0.0
8665,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0
8666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8670,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0
8671,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.0
8672,0.0,0.0,0.0,0.0,0.007,0.007,0.0,0.0
8673,0.0,0.0,0.0,0.0,0.035,0.044,0.0,0.0
8674,0.0,0.0,0.0,0.0,0.067,0.071,0.0,0.0
8675,0.0,0.0,0.0,0.0,0.1,0.122,0.0,0.0
8676,0.0,0.0,0.0,0.0,0.083,0.125,0.0,0.0
8677,0.0,0.0,0.0,0.0,0.075,0.098,0.0,0.0
