,Ethiopia Demand,Export Demand
303,2475.980804,447.5980804
304,2470.232609,447.0232609
305,2489.428249,448.9428249
306,2529.717431,452.9717431
307,2599.197633,459.9197633
308,2482.523163,448.2523163
309,2352.702422,435.2702422
310,2197.225274,419.7225274
311,2102.031312,410.2031312
312,2051.975972,405.1975972
313,2031.791968,403.1791968
314,2025.569584,402.5569584
315,2037.493403,403.7493403
316,2104.106235,410.4106235
317,2185.888156,418.5888156
318,2260.363996,426.0363996
319,2337.547457,433.7547457
320,2434.180687,443.4180687
321,2490.832399,449.0832399
322,2509.173754,450.9173754
323,2504.001953,450.4001953
324,2497.098012,449.7098012
325,2481.99935,448.199935
326,2476.46883,447.646883
327,2487.309619,448.7309619
328,2510.027371,451.0027371
329,2519.510867,451.9510867
330,2558.342459,455.8342459
331,2621.807836,462.1807836
332,2553.473074,455.3473074
333,2369.783631,436.9783631
334,2199.687259,419.9687259
335,2119.539664,411.9539664
336,2075.713101,407.5713101
337,2043.501643,404.3501643
338,2018.301675,401.8301675
339,2025.762352,402.5762352
340,2077.23606,407.723606
341,2168.605018,416.8605018
342,2241.745036,424.1745036
343,2332.746113,433.2746113
344,2447.388222,444.7388222
345,2492.114017,449.2114017
346,2513.196489,451.3196489
347,2498.478972,449.8478972
348,2468.167706,446.8167706
349,2430.148314,443.0148314
350,2410.200307,441.0200307
351,2410.713145,441.0713145
352,2425.785373,442.5785373
353,2433.607155,443.3607155
354,2434.211797,443.4211797
355,2510.993785,451.0993785
356,2467.813567,446.7813567
357,2301.159718,430.1159718
358,2189.591774,418.9591774
359,2099.710753,409.9710753
360,2064.332086,406.4332086
361,2025.176701,402.5176701
362,2004.389488,400.4389488
363,2006.673211,400.6673211
364,2030.727357,403.0727357
365,2090.328127,409.0328127
366,2154.958507,415.4958507
367,2268.882318,426.8882318
368,2360.461125,436.0461125
369,2377.605223,437.7605223
370,2351.892989,435.1892989
371,2324.680891,432.4680891
372,2297.075718,429.7075718
373,2268.279681,426.8279681
374,2226.797726,422.6797726
375,2214.041476,421.4041476
376,2226.652673,422.6652673
377,2270.890632,427.0890632
378,2331.052145,433.1052145
379,2436.018181,443.6018181
380,2367.500004,436.7500004
381,2202.873173,420.2873173
382,2084.780429,408.4780429
383,2010.359366,401.0359366
384,1935.193761,393.5193761
385,1907.893104,390.7893104
386,1892.720198,389.2720198
387,1882.724055,388.2724055
388,1908.525706,390.8525706
389,1934.149572,393.4149572
390,1999.079505,399.9079505
391,2114.974317,411.4974317
392,2213.363354,421.3363354
393,2258.881213,425.8881213
394,2256.688053,425.6688053
395,2260.53806,426.053806
396,2251.508522,425.1508522
397,2210.928375,421.0928375
398,2178.910162,417.8910162
399,2172.274568,417.2274568
400,2207.24537,420.724537
401,2251.780591,425.1780591
402,2319.223183,431.9223183
403,2423.592404,442.3592404
404,2371.95408,437.195408
405,2188.80973,418.880973
406,2051.01576,405.101576
407,1969.289857,396.9289857
408,1953.898894,395.3898894
409,1938.220212,393.8220212
410,1932.387753,393.2387753
411,1952.0092,395.20092
412,2017.063287,401.7063287
413,2140.090498,414.0090498
414,2230.024196,423.0024196
415,2341.861919,434.1861919
416,2442.439059,444.2439059
