,Gen-Awash II,Gen-Fincha,Gen-Genaledawa III,Gen-Gibgel Gibe I,Gen-Gibgel Gibe II,Gen-Gibgel Gibe III,Gen-Grand Renaissance Dam,Gen-Koka,Gen-Melka Wakena,Gen-Tekeze/ TK5,Gen-Tana Beles,Gen-Tis Abay I & II
4694,-2.157996146435453,-6.424388815693163,-63.543689320388346,-5.754877014418999,-0.0,0.0,-53.271642394822,-2.1623563218390807,-0.6174334140435837,-1.594896331738437,0.0,-2.0757020757020754
4695,-1.8497109826589595,-6.91480017566974,-51.94444444444445,-4.584393553859202,-0.0,0.0,-53.63403451995684,-1.8534482758620687,-0.5145278450363197,-0.7974481658692185,0.0,-0.908119658119658
4696,-1.027617212588311,-6.71863563167911,-42.362459546925564,-3.6089906700593724,-0.0,0.0,-50.7348975188781,-1.0296934865900382,-0.5145278450363197,-0.7974481658692185,0.0,-0.38919413919413914
4697,-0.6165703275529866,-5.786854047723613,-39.336569579288025,-3.2188295165394405,-0.0,0.0,-43.48705501618122,-0.617816091954023,-0.5145278450363197,-0.39872408293460926,0.0,-0.25946275946275943
4698,-0.4110468850353244,-5.247401551749378,-39.84088457389428,-3.1212892281594575,-0.0,0.0,-39.1383495145631,-0.4118773946360153,-0.5145278450363197,-0.7974481658692185,0.0,-0.12973137973137971
4699,-0.3082851637764933,-4.904113599765774,-42.86677454153182,-3.1212892281594575,-0.0,0.0,-36.6016046386192,-0.3089080459770115,-0.6174334140435837,-1.1961722488038278,0.0,-0.12973137973137971
4700,-0.4110468850353244,-4.511784511784511,-45.892664509169364,-3.2188295165394405,-0.0,0.0,-35.15203613807982,-0.4118773946360153,-0.6174334140435837,-2.791068580542265,0.0,-0.6486568986568986
4701,-0.4110468850353244,-3.67808519982433,-48.918554476806904,-3.6089906700593724,-0.0,0.0,-34.789644012944976,-0.4118773946360153,-0.6174334140435837,-6.379585326953748,0.0,-2.7243589743589745
4702,-0.6165703275529866,-2.5010979358805443,-56.98759439050701,-4.584393553859202,-0.0,0.0,-32.61529126213592,-0.617816091954023,-0.7203389830508475,-14.354066985645932,0.0,-5.059523809523809
4703,-0.8220937700706488,-1.7164397599180208,-66.06526429341963,-5.4622561492790505,-0.0,0.0,-51.82207389428263,-0.8237547892720306,-0.6174334140435837,-46.25199362041468,0.0,-14.01098901098901
4704,-1.027617212588311,-1.4221929439320744,-69.09115426105718,-6.047497879558948,-0.0,0.0,-181.5584546925566,-1.0296934865900382,-0.5145278450363197,-109.64912280701756,0.0,-61.23321123321122
4705,-1.4386640976236353,-1.4221929439320744,-64.0480043149946,-6.242578456318915,-0.0,0.0,-546.487324703344,-1.4415708812260537,-0.41162227602905577,-145.5342902711324,-70.69397806133871,-84.99999999999999
4706,-1.4386640976236353,-1.6183574879227052,-61.02211434735706,-6.535199321458864,-0.0,0.0,-750.0000000004213,-1.4415708812260537,-0.3087167070217918,-106.85805422647529,-146.29654503395267,-84.99999999999999
4707,-1.4386640976236353,-2.403015663885229,-66.56957928802589,-7.120441051738761,-0.0,0.0,-745.4406014023731,-1.4415708812260537,-0.20581113801452788,-61.004784688995215,-116.08984404148944,-84.99999999999999
4708,-1.7469492614001285,-3.629044063826672,-80.18608414239482,-8.095843935538593,-0.0,0.0,-443.20556903991366,-1.7504789272030652,-0.20581113801452788,-40.66985645933014,-42.37519588090441,-84.99999999999999
4709,-2.4662813102119463,-4.7569901917728,-98.34142394822007,-9.071246819338423,-0.0,0.0,-217.4352750809061,-2.471264367816092,-0.20581113801452788,-29.904306220095695,0.0,-65.254884004884
4710,-3.288375080282595,-5.345483823744693,-106.91477885652642,-9.168787107718405,-0.0,0.0,-101.10740291262135,-3.2950191570881224,-0.3087167070217918,-13.556618819776716,0.0,-22.054334554334552
4711,-3.9049454078355814,-4.609866783779827,-111.957928802589,-8.778625954198473,-0.0,0.0,-52.54685814455231,-3.9128352490421454,-0.41162227602905577,-7.177033492822966,0.0,-6.616300366300365
4712,-5.035324341682723,-3.334797247840726,-105.40183387270767,-7.803223070398643,-0.0,0.0,-32.25289913700108,-5.045498084291188,-0.7203389830508475,-7.177033492822966,0.0,-2.7243589743589745
4713,-6.165703275529865,-3.2367149758454103,-92.28964401294498,-6.73027989821883,-0.0,0.0,-34.42725188781014,-6.17816091954023,-1.1319612590799033,-10.36682615629984,0.0,-3.762210012210012
4714,-6.8850353243416835,-3.089591567852437,-91.28101402373247,-7.217981340118745,-0.0,0.0,-37.68878101402373,-6.898946360153257,-1.440677966101695,-12.360446570972888,0.0,-5.318986568986569
4715,-7.296082209377007,-3.4328795198360416,-95.31553398058253,-7.6081424936386775,-0.0,0.0,-44.936623516720594,-7.310823754789271,-1.749394673123487,-12.759170653907496,0.0,-7.005494505494505
4716,-8.52922286448298,-4.3156199677938805,-102.88025889967638,-8.095843935538593,-0.0,0.0,-60.15709277238402,-8.546455938697319,-2.161016949152543,-13.556618819776716,0.0,-10.119047619047619
4717,-9.351316634553628,-5.394524959742351,-107.92340884573895,-7.998303647158609,-0.0,0.0,-71.02885652642934,-9.370210727969347,-2.161016949152543,-15.151515151515152,0.0,-11.156898656898655
4718,-7.912652536929993,-5.83589518372127,-103.8888888888889,-7.315521628498727,-0.0,0.0,-67.76732740021573,-7.928639846743295,-2.0581113801452786,-12.759170653907496,0.0,-8.82173382173382
4719,-6.8850353243416835,-9.023569023569022,-112.9665587918015,-6.925360474978795,-0.0,0.0,-89.87324703344119,-6.898946360153257,-1.9552058111380146,-12.360446570972888,0.0,-8.302808302808302
4720,-5.960179833012203,-10.641926511491729,-134.1477885652643,-7.315521628498727,-0.0,0.0,-105.45610841423945,-5.972222222222222,-1.749394673123487,-14.752791068580542,0.0,-9.600122100122098
4721,-5.857418111753372,-10.004391743522177,-173.4843581445523,-8.68108566581849,-0.0,0.0,-100.0202265372168,-5.869252873563219,-1.749394673123487,-19.138755980861244,0.0,-9.34065934065934
4722,-6.165703275529865,-8.631239935587761,-233.49784250269684,-10.63189143341815,-0.0,0.0,-103.64414778856523,-6.17816091954023,-1.749394673123487,-25.917065390749602,0.0,-14.27045177045177
4723,-6.987797045600514,-7.944664031620553,0.0,-14.826123833757421,-0.0,-336.8824163969795,-115.24069579288025,-7.001915708812261,-1.749394673123487,-30.701754385964914,0.0,-20.238095238095237
4724,-7.5016056518946685,-7.846581759625238,0.0,-20.19083969465649,-0.0,-436.73678532901835,-117.41504854368931,-7.516762452107279,-1.8523002421307506,-57.41626794258373,0.0,-21.275946275946275
4725,-8.940269749518304,-7.209046991655686,0.0,-24.872773536895675,-0.0,-491.7071197411003,-124.30049892125132,-8.958333333333332,-1.9552058111380146,-155.90111642743224,0.0,-25.427350427350426
4726,-10.070648683365446,-6.767676767676767,0.0,-28.96946564885496,-0.0,-534.5738942826322,-179.38410194174753,-10.090996168582375,-1.9552058111380146,-295.0558213716109,0.0,-46.314102564102555
4727,-10.892742453436094,-6.27726540770019,0.0,-37.06530958439355,-0.0,-645.0188781014024,-285.56499460625673,-10.914750957854405,-1.749394673123487,-300.0,-0.41190955898813747,-84.99999999999999
4728,-11.406551059730251,-7.160005855658029,0.0,-46.33163698049194,-0.0,-751.9336569579289,-321.0794228694714,-11.429597701149426,-1.543583535108959,-270.7336523125997,-7.277068875457054,-84.99999999999999
4729,-10.892742453436094,-9.857268335529206,0.0,-51.208651399491096,-0.0,-804.3824163969796,-273.9684466019417,-10.914750957854405,-1.440677966101695,-181.41945773524722,0.0,-72.00091575091575
4730,-11.30378933847142,-13.044942175376958,0.0,-50.72094995759118,-0.0,-783.2011866235167,-226.85747033441206,-11.32662835249042,-1.8523002421307506,-134.76874003189795,0.0,-46.703296703296694
4731,-11.612074502247912,-17.70385009515444,0.0,-43.60050890585242,-0.0,-679.3122977346278,-231.93096008629985,-11.635536398467433,-2.5726392251815984,-115.23125996810207,0.0,-36.19505494505494
4732,-11.509312780989083,-26.237007758746888,0.0,-36.67514843087362,-0.0,-555.2508090614887,-284.84021035598704,-11.53256704980843,-2.88135593220339,-117.62360446570973,0.0,-32.56257631257631
